model_name,bandwidth_mbps,optimal_split_idx,loss_pct,total_packets,missing_packets,mode,sample_count,top1_acc,top5_acc,avg_ce_loss,edge_ms,server_ms,comm_ms,total_ms,activation_mb
vit_b_16,40.0,6,0.0,591,0,clean,1,98.0,100.0,0.18391840279102326,7.770904333331903,7.702226333397751,14.4287109375,29.901841604229652,0.5771484375
vit_b_16,40.0,6,0.0,591,0,oracle,1,98.0,100.0,0.18391840279102326,7.770904333331903,7.702226333397751,14.4287109375,29.901841604229652,0.5771484375
vit_b_16,40.0,6,0.0,591,0,random,3,98.0,100.0,0.18391840279102326,7.770904333331903,7.702226333397751,14.4287109375,29.901841604229652,0.5771484375
vit_b_16,40.0,6,10.0,591,59,clean,1,98.0,100.0,0.18391840279102326,7.770904333331903,7.702226333397751,14.4287109375,29.901841604229652,0.5771484375
vit_b_16,40.0,6,10.0,591,59,oracle,1,98.0,100.0,0.22183493107557298,7.770904333331903,7.702226333397751,14.4287109375,29.901841604229652,0.5771484375
vit_b_16,40.0,6,10.0,591,59,random,3,66.33333333333333,73.0,2.570803951223691,7.770904333331903,7.702226333397751,14.4287109375,29.901841604229652,0.5771484375
vit_b_16,40.0,6,20.0,591,118,clean,1,98.0,100.0,0.18391840279102326,7.770904333331903,7.702226333397751,14.4287109375,29.901841604229652,0.5771484375
vit_b_16,40.0,6,20.0,591,118,oracle,1,96.0,98.0,0.5328013727068901,7.770904333331903,7.702226333397751,14.4287109375,29.901841604229652,0.5771484375
vit_b_16,40.0,6,20.0,591,118,random,3,43.333333333333336,56.666666666666664,4.02783037195603,7.770904333331903,7.702226333397751,14.4287109375,29.901841604229652,0.5771484375
vit_b_16,40.0,6,30.0,591,177,clean,1,98.0,100.0,0.18391840279102326,7.770904333331903,7.702226333397751,14.4287109375,29.901841604229652,0.5771484375
vit_b_16,40.0,6,30.0,591,177,oracle,1,92.0,96.0,0.9802118790894747,7.770904333331903,7.702226333397751,14.4287109375,29.901841604229652,0.5771484375
vit_b_16,40.0,6,30.0,591,177,random,3,28.333333333333332,40.0,4.944843583057324,7.770904333331903,7.702226333397751,14.4287109375,29.901841604229652,0.5771484375
vit_b_16,40.0,6,40.0,591,236,clean,1,98.0,100.0,0.18391840279102326,7.770904333331903,7.702226333397751,14.4287109375,29.901841604229652,0.5771484375
vit_b_16,40.0,6,40.0,591,236,oracle,1,88.0,95.0,1.2377124430984259,7.770904333331903,7.702226333397751,14.4287109375,29.901841604229652,0.5771484375
vit_b_16,40.0,6,40.0,591,236,random,3,17.666666666666668,28.666666666666668,5.55050262739261,7.770904333331903,7.702226333397751,14.4287109375,29.901841604229652,0.5771484375
vit_b_16,40.0,6,50.0,591,296,clean,1,98.0,100.0,0.18391840279102326,7.770904333331903,7.702226333397751,14.4287109375,29.901841604229652,0.5771484375
vit_b_16,40.0,6,50.0,591,296,oracle,1,82.0,88.0,1.8732016570866108,7.770904333331903,7.702226333397751,14.4287109375,29.901841604229652,0.5771484375
