model_name,loss_pct,total_packets,missing_packets,mode,top1_acc,top5_acc,avg_ce_loss,optimal_split_idx,total_ms
vit_b_16,0.0,591,0,clean,98.0,100.0,0.18391840279102326,6,29.901841604229652
vit_b_16,0.0,591,0,oracle,98.0,100.0,0.18391840279102326,6,29.901841604229652
vit_b_16,0.0,591,0,random,98.0,100.0,0.18391840279102326,6,29.901841604229652
vit_b_16,10.0,591,59,clean,98.0,100.0,0.18391840279102326,6,29.901841604229652
vit_b_16,10.0,591,59,oracle,98.0,100.0,0.22183493107557298,6,29.901841604229652
vit_b_16,10.0,591,59,random,66.33333333333333,73.0,2.570803951223691,6,29.901841604229652
vit_b_16,20.0,591,118,clean,98.0,100.0,0.18391840279102326,6,29.901841604229652
vit_b_16,20.0,591,118,oracle,96.0,98.0,0.5328013727068901,6,29.901841604229652
vit_b_16,20.0,591,118,random,43.333333333333336,56.666666666666664,4.02783037195603,6,29.901841604229652
vit_b_16,30.0,591,177,clean,98.0,100.0,0.18391840279102326,6,29.901841604229652
vit_b_16,30.0,591,177,oracle,92.0,96.0,0.9802118790894747,6,29.901841604229652
vit_b_16,30.0,591,177,random,28.333333333333332,40.0,4.944843583057324,6,29.901841604229652
vit_b_16,40.0,591,236,clean,98.0,100.0,0.18391840279102326,6,29.901841604229652
vit_b_16,40.0,591,236,oracle,88.0,95.0,1.2377124430984259,6,29.901841604229652
vit_b_16,40.0,591,236,random,17.666666666666668,28.666666666666668,5.55050262739261,6,29.901841604229652
vit_b_16,50.0,591,296,clean,98.0,100.0,0.18391840279102326,6,29.901841604229652
vit_b_16,50.0,591,296,oracle,82.0,88.0,1.8732016570866108,6,29.901841604229652
vit_b_16,50.0,591,296,random,5.0,12.0,6.222646571397782,6,29.901841604229652
vit_b_16,60.0,591,355,clean,98.0,100.0,0.18391840279102326,6,29.901841604229652
vit_b_16,60.0,591,355,oracle,68.0,77.0,2.927800415754318,6,29.901841604229652
vit_b_16,60.0,591,355,random,1.6666666666666667,4.666666666666667,6.446027135054271,6,29.901841604229652
mobilenet_v2,0.0,31,0,clean,96.0,99.0,0.20776818205393283,17,7.581360330732423
mobilenet_v2,0.0,31,0,oracle,96.0,99.0,0.20776818205393283,17,7.581360330732423
mobilenet_v2,0.0,31,0,random,96.0,99.0,0.20776818205393283,17,7.581360330732423
mobilenet_v2,10.0,31,3,clean,96.0,99.0,0.20776818205393283,17,7.581360330732423
mobilenet_v2,10.0,31,3,oracle,94.0,100.0,0.2675561088335235,17,7.581360330732423
mobilenet_v2,10.0,31,3,random,26.333333333333332,37.666666666666664,5.28891514792107,17,7.581360330732423
mobilenet_v2,20.0,31,6,clean,96.0,99.0,0.20776818205393283,17,7.581360330732423
mobilenet_v2,20.0,31,6,oracle,91.0,100.0,0.4352196591318352,17,7.581360330732423
mobilenet_v2,20.0,31,6,random,7.333333333333333,17.333333333333332,6.650703782786926,17,7.581360330732423
mobilenet_v2,30.0,31,9,clean,96.0,99.0,0.20776818205393283,17,7.581360330732423
mobilenet_v2,30.0,31,9,oracle,88.0,97.0,0.7858650246856268,17,7.581360330732423
mobilenet_v2,30.0,31,9,random,2.3333333333333335,5.333333333333333,7.397300082047781,17,7.581360330732423
mobilenet_v2,40.0,31,12,clean,96.0,99.0,0.20776818205393283,17,7.581360330732423
mobilenet_v2,40.0,31,12,oracle,80.0,92.0,1.620799870332703,17,7.581360330732423
mobilenet_v2,40.0,31,12,random,0.3333333333333333,1.6666666666666667,7.7625959698359175,17,7.581360330732423
mobilenet_v2,50.0,31,16,clean,96.0,99.0,0.20776818205393283,17,7.581360330732423
mobilenet_v2,50.0,31,16,oracle,69.0,84.0,3.2208761733770372,17,7.581360330732423
mobilenet_v2,50.0,31,16,random,0.3333333333333333,0.3333333333333333,7.836026759147644,17,7.581360330732423
mobilenet_v2,60.0,31,19,clean,96.0,99.0,0.20776818205393283,17,7.581360330732423
mobilenet_v2,60.0,31,19,oracle,42.0,64.0,4.512755008935929,17,7.581360330732423
mobilenet_v2,60.0,31,19,random,0.0,0.3333333333333333,7.7632551129659015,17,7.581360330732423
