bandwidth_mbps,split_idx,mode,total_packets,missing_packets,sample_count,top1_acc,top5_acc,avg_ce_loss,samples,model_name,optimal_split_idx,edge_ms,server_ms,comm_ms,total_ms,activation_mb
20.0,7,clean,591,5,1,98.0,100.0,0.1839184027910232,100,vit_b_16,7,9.246916666664143,6.501189000000333,28.857421875,44.60552754166447,0.5771484375
20.0,7,oracle,591,5,1,98.0,100.0,0.1886532214283943,100,vit_b_16,7,9.246916666664143,6.501189000000333,28.857421875,44.60552754166447,0.5771484375
20.0,7,random,591,5,3,80.66666666666667,86.66666666666667,1.353505561525623,300,vit_b_16,7,9.246916666664143,6.501189000000333,28.857421875,44.60552754166447,0.5771484375
20.0,7,clean,591,10,1,98.0,100.0,0.1839184027910232,100,vit_b_16,7,9.246916666664143,6.501189000000333,28.857421875,44.60552754166447,0.5771484375
20.0,7,oracle,591,10,1,98.0,100.0,0.1913452986627817,100,vit_b_16,7,9.246916666664143,6.501189000000333,28.857421875,44.60552754166447,0.5771484375
20.0,7,random,591,10,3,84.33333333333333,90.33333333333331,1.0997787100076677,300,vit_b_16,7,9.246916666664143,6.501189000000333,28.857421875,44.60552754166447,0.5771484375
20.0,7,clean,591,20,1,98.0,100.0,0.1839184027910232,100,vit_b_16,7,9.246916666664143,6.501189000000333,28.857421875,44.60552754166447,0.5771484375
20.0,7,oracle,591,20,1,98.0,100.0,0.1913073013722896,100,vit_b_16,7,9.246916666664143,6.501189000000333,28.857421875,44.60552754166447,0.5771484375
20.0,7,random,591,20,3,86.33333333333333,88.33333333333333,1.1693500841160616,300,vit_b_16,7,9.246916666664143,6.501189000000333,28.857421875,44.60552754166447,0.5771484375
50.0,7,clean,591,5,1,98.0,100.0,0.1839184027910232,100,vit_b_16,7,9.246916666664143,6.501189000000333,11.54296875,27.291074416664475,0.5771484375
50.0,7,oracle,591,5,1,98.0,100.0,0.1886532214283943,100,vit_b_16,7,9.246916666664143,6.501189000000333,11.54296875,27.291074416664475,0.5771484375
50.0,7,random,591,5,3,80.66666666666667,86.66666666666667,1.353505561525623,300,vit_b_16,7,9.246916666664143,6.501189000000333,11.54296875,27.291074416664475,0.5771484375
50.0,7,clean,591,10,1,98.0,100.0,0.1839184027910232,100,vit_b_16,7,9.246916666664143,6.501189000000333,11.54296875,27.291074416664475,0.5771484375
50.0,7,oracle,591,10,1,98.0,100.0,0.1913452986627817,100,vit_b_16,7,9.246916666664143,6.501189000000333,11.54296875,27.291074416664475,0.5771484375
50.0,7,random,591,10,3,84.33333333333333,90.33333333333331,1.0997787100076677,300,vit_b_16,7,9.246916666664143,6.501189000000333,11.54296875,27.291074416664475,0.5771484375
50.0,7,clean,591,20,1,98.0,100.0,0.1839184027910232,100,vit_b_16,7,9.246916666664143,6.501189000000333,11.54296875,27.291074416664475,0.5771484375
50.0,7,oracle,591,20,1,98.0,100.0,0.1913073013722896,100,vit_b_16,7,9.246916666664143,6.501189000000333,11.54296875,27.291074416664475,0.5771484375
50.0,7,random,591,20,3,86.33333333333333,88.33333333333333,1.1693500841160616,300,vit_b_16,7,9.246916666664143,6.501189000000333,11.54296875,27.291074416664475,0.5771484375
100.0,7,clean,591,5,1,98.0,100.0,0.1839184027910232,100,vit_b_16,7,9.246916666664143,6.501189000000333,5.771484375,21.519590041664475,0.5771484375
100.0,7,oracle,591,5,1,98.0,100.0,0.1886532214283943,100,vit_b_16,7,9.246916666664143,6.501189000000333,5.771484375,21.519590041664475,0.5771484375
100.0,7,random,591,5,3,80.66666666666667,86.66666666666667,1.353505561525623,300,vit_b_16,7,9.246916666664143,6.501189000000333,5.771484375,21.519590041664475,0.5771484375
100.0,7,clean,591,10,1,98.0,100.0,0.1839184027910232,100,vit_b_16,7,9.246916666664143,6.501189000000333,5.771484375,21.519590041664475,0.5771484375
100.0,7,oracle,591,10,1,98.0,100.0,0.1913452986627817,100,vit_b_16,7,9.246916666664143,6.501189000000333,5.771484375,21.519590041664475,0.5771484375
100.0,7,random,591,10,3,84.33333333333333,90.33333333333331,1.0997787100076677,300,vit_b_16,7,9.246916666664143,6.501189000000333,5.771484375,21.519590041664475,0.5771484375
100.0,7,clean,591,20,1,98.0,100.0,0.1839184027910232,100,vit_b_16,7,9.246916666664143,6.501189000000333,5.771484375,21.519590041664475,0.5771484375
100.0,7,oracle,591,20,1,98.0,100.0,0.1913073013722896,100,vit_b_16,7,9.246916666664143,6.501189000000333,5.771484375,21.519590041664475,0.5771484375
100.0,7,random,591,20,3,86.33333333333333,88.33333333333333,1.1693500841160616,300,vit_b_16,7,9.246916666664143,6.501189000000333,5.771484375,21.519590041664475,0.5771484375
0.1,17,clean,31,5,1,96.0,99.0,0.2077681820539328,100,mobilenet_v2,17,5.1810073333437385,0.7487119999799082,299.072265625,305.00198495832365,0.0299072265625
0.1,17,oracle,31,5,1,89.0,98.0,0.4500047945245751,100,mobilenet_v2,17,5.1810073333437385,0.7487119999799082,299.072265625,305.00198495832365,0.0299072265625
0.1,17,random,31,5,3,11.666666666666666,17.666666666666668,6.6685290494126575,300,mobilenet_v2,17,5.1810073333437385,0.7487119999799082,299.072265625,305.00198495832365,0.0299072265625
0.1,17,clean,31,10,1,96.0,99.0,0.2077681820539328,100,mobilenet_v2,17,5.1810073333437385,0.7487119999799082,299.072265625,305.00198495832365,0.0299072265625
0.1,17,oracle,31,10,1,89.0,98.0,1.0880034321988932,100,mobilenet_v2,17,5.1810073333437385,0.7487119999799082,299.072265625,305.00198495832365,0.0299072265625
0.1,17,random,31,10,3,0.3333333333333333,2.333333333333333,7.5845965758959455,300,mobilenet_v2,17,5.1810073333437385,0.7487119999799082,299.072265625,305.00198495832365,0.0299072265625
0.1,17,clean,31,20,1,96.0,99.0,0.2077681820539328,100,mobilenet_v2,17,5.1810073333437385,0.7487119999799082,299.072265625,305.00198495832365,0.0299072265625
0.1,17,oracle,31,20,1,34.0,54.0,5.001887180805206,100,mobilenet_v2,17,5.1810073333437385,0.7487119999799082,299.072265625,305.00198495832365,0.0299072265625
0.1,17,random,31,20,3,0.0,0.0,7.815247152646383,300,mobilenet_v2,17,5.1810073333437385,0.7487119999799082,299.072265625,305.00198495832365,0.0299072265625
0.2,17,clean,31,5,1,96.0,99.0,0.2077681820539328,100,mobilenet_v2,17,5.1810073333437385,0.7487119999799082,149.5361328125,155.46585214582365,0.0299072265625
0.2,17,oracle,31,5,1,89.0,98.0,0.4500047945245751,100,mobilenet_v2,17,5.1810073333437385,0.7487119999799082,149.5361328125,155.46585214582365,0.0299072265625
0.2,17,random,31,5,3,11.666666666666666,17.666666666666668,6.6685290494126575,300,mobilenet_v2,17,5.1810073333437385,0.7487119999799082,149.5361328125,155.46585214582365,0.0299072265625
0.2,17,clean,31,10,1,96.0,99.0,0.2077681820539328,100,mobilenet_v2,17,5.1810073333437385,0.7487119999799082,149.5361328125,155.46585214582365,0.0299072265625
0.2,17,oracle,31,10,1,89.0,98.0,1.0880034321988932,100,mobilenet_v2,17,5.1810073333437385,0.7487119999799082,149.5361328125,155.46585214582365,0.0299072265625
0.2,17,random,31,10,3,0.3333333333333333,2.333333333333333,7.5845965758959455,300,mobilenet_v2,17,5.1810073333437385,0.7487119999799082,149.5361328125,155.46585214582365,0.0299072265625
0.2,17,clean,31,20,1,96.0,99.0,0.2077681820539328,100,mobilenet_v2,17,5.1810073333437385,0.7487119999799082,149.5361328125,155.46585214582365,0.0299072265625
0.2,17,oracle,31,20,1,34.0,54.0,5.001887180805206,100,mobilenet_v2,17,5.1810073333437385,0.7487119999799082,149.5361328125,155.46585214582365,0.0299072265625
0.2,17,random,31,20,3,0.0,0.0,7.815247152646383,300,mobilenet_v2,17,5.1810073333437385,0.7487119999799082,149.5361328125,155.46585214582365,0.0299072265625
0.5,17,clean,31,5,1,96.0,99.0,0.2077681820539328,100,mobilenet_v2,17,5.1810073333437385,0.7487119999799082,59.814453125,65.74417245832365,0.0299072265625
0.5,17,oracle,31,5,1,89.0,98.0,0.4500047945245751,100,mobilenet_v2,17,5.1810073333437385,0.7487119999799082,59.814453125,65.74417245832365,0.0299072265625
0.5,17,random,31,5,3,11.666666666666666,17.666666666666668,6.6685290494126575,300,mobilenet_v2,17,5.1810073333437385,0.7487119999799082,59.814453125,65.74417245832365,0.0299072265625
0.5,17,clean,31,10,1,96.0,99.0,0.2077681820539328,100,mobilenet_v2,17,5.1810073333437385,0.7487119999799082,59.814453125,65.74417245832365,0.0299072265625
0.5,17,oracle,31,10,1,89.0,98.0,1.0880034321988932,100,mobilenet_v2,17,5.1810073333437385,0.7487119999799082,59.814453125,65.74417245832365,0.0299072265625
0.5,17,random,31,10,3,0.3333333333333333,2.333333333333333,7.5845965758959455,300,mobilenet_v2,17,5.1810073333437385,0.7487119999799082,59.814453125,65.74417245832365,0.0299072265625
0.5,17,clean,31,20,1,96.0,99.0,0.2077681820539328,100,mobilenet_v2,17,5.1810073333437385,0.7487119999799082,59.814453125,65.74417245832365,0.0299072265625
0.5,17,oracle,31,20,1,34.0,54.0,5.001887180805206,100,mobilenet_v2,17,5.1810073333437385,0.7487119999799082,59.814453125,65.74417245832365,0.0299072265625
0.5,17,random,31,20,3,0.0,0.0,7.815247152646383,300,mobilenet_v2,17,5.1810073333437385,0.7487119999799082,59.814453125,65.74417245832365,0.0299072265625
1.0,17,clean,31,5,1,96.0,99.0,0.2077681820539328,100,mobilenet_v2,17,5.1810073333437385,0.7487119999799082,29.9072265625,35.836945895823646,0.0299072265625
1.0,17,oracle,31,5,1,89.0,98.0,0.4500047945245751,100,mobilenet_v2,17,5.1810073333437385,0.7487119999799082,29.9072265625,35.836945895823646,0.0299072265625
1.0,17,random,31,5,3,11.666666666666666,17.666666666666668,6.6685290494126575,300,mobilenet_v2,17,5.1810073333437385,0.7487119999799082,29.9072265625,35.836945895823646,0.0299072265625
1.0,17,clean,31,10,1,96.0,99.0,0.2077681820539328,100,mobilenet_v2,17,5.1810073333437385,0.7487119999799082,29.9072265625,35.836945895823646,0.0299072265625
1.0,17,oracle,31,10,1,89.0,98.0,1.0880034321988932,100,mobilenet_v2,17,5.1810073333437385,0.7487119999799082,29.9072265625,35.836945895823646,0.0299072265625
1.0,17,random,31,10,3,0.3333333333333333,2.333333333333333,7.5845965758959455,300,mobilenet_v2,17,5.1810073333437385,0.7487119999799082,29.9072265625,35.836945895823646,0.0299072265625
1.0,17,clean,31,20,1,96.0,99.0,0.2077681820539328,100,mobilenet_v2,17,5.1810073333437385,0.7487119999799082,29.9072265625,35.836945895823646,0.0299072265625
1.0,17,oracle,31,20,1,34.0,54.0,5.001887180805206,100,mobilenet_v2,17,5.1810073333437385,0.7487119999799082,29.9072265625,35.836945895823646,0.0299072265625
1.0,17,random,31,20,3,0.0,0.0,7.815247152646383,300,mobilenet_v2,17,5.1810073333437385,0.7487119999799082,29.9072265625,35.836945895823646,0.0299072265625
2.0,17,clean,31,5,1,96.0,99.0,0.2077681820539328,100,mobilenet_v2,17,5.1810073333437385,0.7487119999799082,14.95361328125,20.883332614573646,0.0299072265625
2.0,17,oracle,31,5,1,89.0,98.0,0.4500047945245751,100,mobilenet_v2,17,5.1810073333437385,0.7487119999799082,14.95361328125,20.883332614573646,0.0299072265625
2.0,17,random,31,5,3,11.666666666666666,17.666666666666668,6.6685290494126575,300,mobilenet_v2,17,5.1810073333437385,0.7487119999799082,14.95361328125,20.883332614573646,0.0299072265625
2.0,17,clean,31,10,1,96.0,99.0,0.2077681820539328,100,mobilenet_v2,17,5.1810073333437385,0.7487119999799082,14.95361328125,20.883332614573646,0.0299072265625
