bandwidth_mbps,optimal_split_idx,edge_ms,server_ms,comm_ms,total_ms,activation_mb,model_name
0.1,7,9.246916666664143,6.501189000000333,5771.484375,5787.232480666665,0.5771484375,vit_b_16
0.2,7,9.246916666664143,6.501189000000333,2885.7421875,2901.4902931666643,0.5771484375,vit_b_16
0.5,7,9.246916666664143,6.501189000000333,1154.296875,1170.0449806666643,0.5771484375,vit_b_16
1.0,7,9.246916666664143,6.501189000000333,577.1484375,592.8965431666645,0.5771484375,vit_b_16
2.0,7,9.246916666664143,6.501189000000333,288.57421875,304.32232441666446,0.5771484375,vit_b_16
5.0,7,9.246916666664143,6.501189000000333,115.4296875,131.1777931666645,0.5771484375,vit_b_16
10.0,7,9.246916666664143,6.501189000000333,57.71484375,73.46294941666447,0.5771484375,vit_b_16
20.0,7,9.246916666664143,6.501189000000333,28.857421875,44.60552754166447,0.5771484375,vit_b_16
50.0,7,9.246916666664143,6.501189000000333,11.54296875,27.291074416664475,0.5771484375,vit_b_16
100.0,7,9.246916666664143,6.501189000000333,5.771484375,21.519590041664475,0.5771484375,vit_b_16
0.1,17,5.1810073333437385,0.7487119999799082,299.072265625,305.00198495832365,0.0299072265625,mobilenet_v2
0.2,17,5.1810073333437385,0.7487119999799082,149.5361328125,155.46585214582365,0.0299072265625,mobilenet_v2
0.5,17,5.1810073333437385,0.7487119999799082,59.814453125,65.74417245832365,0.0299072265625,mobilenet_v2
1.0,17,5.1810073333437385,0.7487119999799082,29.9072265625,35.836945895823646,0.0299072265625,mobilenet_v2
2.0,17,5.1810073333437385,0.7487119999799082,14.95361328125,20.883332614573646,0.0299072265625,mobilenet_v2
5.0,17,5.1810073333437385,0.7487119999799082,5.9814453125,11.911164645823646,0.0299072265625,mobilenet_v2
10.0,17,5.1810073333437385,0.7487119999799082,2.99072265625,8.920441989573646,0.0299072265625,mobilenet_v2
20.0,17,5.1810073333437385,0.7487119999799082,1.495361328125,7.425080661448646,0.0299072265625,mobilenet_v2
50.0,17,5.1810073333437385,0.7487119999799082,0.59814453125,6.527863864573646,0.0299072265625,mobilenet_v2
100.0,17,5.1810073333437385,0.7487119999799082,0.299072265625,6.228791598948646,0.0299072265625,mobilenet_v2
